Feature,Importance
T_Off_V2,0.001756073065966336
P_OnsAmp_aVF,0.001755922596079842
Max_S_Amp_V2,0.0017550084717725641
Q_Area_II,0.001754371468994084
P_OnsAmp_V6,0.0017513692562993205
QRS_Area_aVF,0.0017502925565769161
T-_Amp_aVR,0.0017498742630685507
T_Off_I,0.001749440945016015
R_PeakTime_V1,0.0017480863050076227
T+_Dur_III,0.0017476885247052158
T_Off_V1,0.001743858674209628
T_PeakTime_III,0.0017407030460717733
R_Area_aVR,0.001738798185754804
T_Area_V2,0.0017380086057405067
T+_Dur_V1,0.0017331287001409585
Max_R_Amp_aVR,0.001731085906474125
T_AreaFull_V4,0.0017307945541934883
S_Dur_aVL,0.0017306131312117509
T_Off_aVF,0.0017292166107296706
T+_Amp_I,0.0017282292870824398
T_Dur_V6,0.0017268487303596684
S_Area_V1,0.0017266268200651442
T_PeakTime_aVF,0.0017236573024755502
T_Amp_V1,0.0017223464713779168
T+_Amp_III,0.0017209240211710586
P_AreaFull_III,0.0017204094866598498
QT_IntFridericia_Global,0.0017175611078451088
T_PeakTime_V3,0.0017154270781093608
T-_Amp_V4,0.0017133037450178764
T_Area_III,0.0017118229270790372
S_Amp_V4,0.0017095163774822634
Q_Dur_V1,0.0017053052359773636
QRS_Area_V5,0.0017030073669063266
T-_Dur_I,0.001701120143757257
P_PeakTime_V2,0.0017002984981044685
P_PeakTime_V6,0.0017002831835702251
T_Off_aVR,0.001698179038288861
T_Area_II,0.001696808973743612
QRS_Area_III,0.0016965076834914447
QRS_Balance_V4,0.0016939239921758614
S_Area_III,0.0016879401102753838
Q_Amp_III,0.0016858409262722027
P_PeakTime_I,0.0016810446217956053
ST_AmpMin_II,0.0016807833665753004
T_AreaFull_V1,0.0016691321777169972
T_AreaFull_aVL,0.0016688711184542626
P_PeakTime_V4,0.0016651109602870578
P+_Dur_III,0.0016635229354290198
T_DurFull_aVF,0.0016549586769049373
Max_S_Amp_V3,0.001652907332014766
Max_R_Amp_V4,0.0016526032465000013
Max_R_Amp_aVL,0.0016485792816561347
T_AreaFull_II,0.0016471520954174763
T_DurFull_V2,0.001644187494648731
S_PeakTime_V3,0.0016401224008821035
ST_Amp116_III,0.0016364932974792575
P_Area_I,0.0016356599295188246
S_Dur_III,0.0016347579288067517
Q_Area_V1,0.0016310556851656935
ST_Amp18_V4,0.001630637402447943
T-_Dur_V6,0.0016273174366333632
ST_AmpMax_V4,0.0016254980008066553
T_Dur_III,0.0016218778762129783
R_Area_aVF,0.0016207598343144281
T+_Amp_V2,0.001620652334507105
R_Amp_V1,0.0016158864499460433
ST_Amp18_aVL,0.0016121105330412166
T_DurFull_V3,0.0016090071702033668
S_Dur_aVF,0.0016087446899707746
P_OnsAmp_V1,0.0016077985026147533
